"path","bytes","lines","is_binary"
"docs_2.0/BODY_MATTER/SYNC_OF_STROID/SYNC_OPTIONS.md","4450","152","False"
"docs_2.0/BODY_MATTER/TESTING_OF_STROID/INTRODUCTION.md","2953","88","False"
"docs_2.0/BODY_MATTER/TESTING_OF_STROID/MOCKS_AND_TIME.md","2331","83","False"
"docs_2.0/BODY_MATTER/TESTING_OF_STROID/REAL_USE.md","2796","83","False"
"docs_2.0/BODY_MATTER/TESTING_OF_STROID/RESETS_AND_BENCHMARKS.md","2821","88","False"
"docs_2.0/BODY_MATTER/THE_GLITCH_IN_MATRIX/INTRODUCTION.md","5421","134","False"
"docs_2.0/BODY_MATTER/THE_GLITCH_IN_MATRIX/PERFORMANCE_AND_REALITY.md","4557","127","False"
"docs_2.0/BODY_MATTER/THE_GLITCH_IN_MATRIX/REAL_USE.md","4323","112","False"
"docs_2.0/BODY_MATTER/THE_GLITCH_IN_MATRIX/TRADEOFFS_AND_LIMITS.md","6212","145","False"
"docs_2.0/FRONT_MATTER/ABOUT_AUTHOR.md","1203","29","False"
"docs_2.0/FRONT_MATTER/ACKNOWLEDGE.md","1363","50","False"
"docs_2.0/FRONT_MATTER/CONTENTS.md","13025","150","False"
"docs_2.0/FRONT_MATTER/COPYRIGHT.md","1177","43","False"
"docs_2.0/FRONT_MATTER/DEDICATION.md","152","4","False"
"docs_2.0/FRONT_MATTER/EPIGRAPH.md","284","12","False"
"docs_2.0/FRONT_MATTER/FOREWORD.md","852","26","False"
"docs_2.0/FRONT_MATTER/FRONT_COVER_PAGE.md","826","29","False"
"docs_2.0/FRONT_MATTER/HOW_TO_USE.md","3335","86","False"
"docs_2.0/FRONT_MATTER/INTRODUCTION.md","1531","52","False"
"docs_2.0/FRONT_MATTER/LIST_OF_TABLE.md","2751","76","False"
"docs_2.0/FRONT_MATTER/PRAISE.md","652","20","False"
"docs_2.0/FRONT_MATTER/PREFACE.md","1478","48","False"
"docs_2.0/FRONT_MATTER/TITLE_PAGE.md","373","13","False"
"LICENSE","1102","21","False"
"package.json","3588","117","False"
"package-lock.json","192394","5448","False"
"README.md","6552","166","False"
"scripts/compare-state-libraries.ts","6720","230","False"
"scripts/deep-update-benchmark.ts","2314","80","False"
"scripts/lifecycle-benchmark.ts","3337","114","False"
"scripts/selector-benchmark.ts","4599","140","False"
"scripts/stroid-advanced-benchmark.ts","17034","546","False"
"scripts/stroid-advanced-benchmark-output.json","0","0","False"
"scripts/subscriber-benchmark.ts","6376","240","False"
"scripts/sync-scale-benchmark.ts","6529","205","False"
"src/adapters/options.ts","13198","357","False"
"src/async.ts","224","8","False"
"src/async-cache.ts","6764","158","False"
"src/async-fetch.ts","26200","683","False"
"src/async-registry.ts","4297","108","False"
"src/async-retry.ts","2451","76","False"
"src/computed.ts","4402","144","False"
"src/computed-entry.ts","248","12","False"
"src/computed-graph.ts","6471","219","False"
"src/config.ts","200","7","False"
"src/core.ts","107","2","False"
"src/devfreeze.ts","1131","31","False"
"src/devtools.ts","234","5","False"
"src/devtools-api.ts","389","9","False"
"src/feature-registry.ts","3208","94","False"
"src/features/devtools.ts","7898","257","False"
"src/features/lifecycle.ts","2872","88","False"
"src/features/persist.ts","7601","183","False"
"src/features/persist/crypto.ts","1832","46","False"
"src/features/persist/load.ts","7675","188","False"
"src/features/persist/save.ts","3702","104","False"
"src/features/persist/types.ts","1606","43","False"
"src/features/persist/watch.ts","2243","73","False"
"src/features/sync.ts","18522","496","False"
"src/helpers.ts","2612","54","False"
"src/hooks.ts","257","4","False"
"src/hooks-async.ts","644","20","False"
"src/hooks-async-suspense.ts","1269","31","False"
"src/hooks-core.ts","7877","217","False"
"src/hooks-form.ts","680","20","False"
"src/index.ts","679","32","False"
"src/integrations/query.ts","676","19","False"
"src/internals/config.ts","5580","169","False"
"src/internals/diagnostics.ts","6779","173","False"
"src/internals/hooks-warnings.ts","776","24","False"
"src/internals/selector-store.ts","834","24","False"
"src/internals/store-admin.ts","6985","211","False"
"src/persist.ts","108","5","False"
"src/runtime-admin.ts","421","13","False"
"src/runtime-tools.ts","2507","67","False"
"src/selectors.ts","4309","119","False"
"src/selectors-entry.ts","73","1","False"
"src/server.ts","3137","75","False"
"src/store.ts","987","47","False"
"src/store-lifecycle.ts","2124","90","False"
"src/store-lifecycle/bind.ts","748","16","False"
"src/store-lifecycle/hooks.ts","6601","192","False"
"src/store-lifecycle/identity.ts","2536","63","False"
"src/store-lifecycle/registry.ts","8262","206","False"
"src/store-lifecycle/types.ts","2803","64","False"
"src/store-lifecycle/validation.ts","12374","311","False"
"src/store-name.ts","1704","36","False"
"src/store-notify.ts","10093","278","False"
"src/store-read.ts","2598","59","False"
"src/store-registry.ts","6763","188","False"
"src/store-transaction.ts","2259","78","False"
"src/store-write.ts","24070","487","False"
"src/sync.ts","99","5","False"
"src/testing.ts","1543","43","False"
"src/utils.ts","21462","629","False"
"STATUS.MD","1301","37","False"
"tests/async.test.ts","21958","687","False"
